x	y	total_counts
7x10	7	10	2226
7x11	7	11	2852
7x13	7	13	1212
7x14	7	14	1214
7x31	7	31	2066
7x32	7	32	1706
7x33	7	33	2081
8x10	8	10	1197
8x11	8	11	1383
8x13	8	13	1688
8x14	8	14	703
8x31	8	31	497
8x32	8	32	1776
8x33	8	33	1785
9x10	9	10	820
9x11	9	11	2513
9x13	9	13	4156
9x16	9	16	924
9x17	9	17	1760
9x18	9	18	2054
9x26	9	26	3533
9x27	9	27	1441
9x29	9	29	1363
9x30	9	30	539
9x31	9	31	275
9x32	9	32	195
9x33	9	33	141
